1		4.73		69332		14656		-335.76
1		0.99		247900		249544		-335.16
1		1		250032		249068		-335.51
1		1.04		254996		246292		-338.69
1		0.97		246564		255076		-335.69
1		1		247928		248380		-335.52
1		1.01		250056		247932		-336.3
1		1.02		254996		250048		-338.08
1		0.98		246576		251208		-336.42
1		0.98		247832		252456		-334.77
1		1.01		250028		248616		-335.28
1		1.04		255032		245564		-338.75
1		0.97		246628		254368		-336.01
1		1		247868		248496		-335.78
1		1.01		250084		248420		-336.39
1		1.02		254908		249872		-338.2
1		0.98		246640		251112		-336.6
1		0.99		247872		251160		-335.42
1		1		250096		248948		-335.83
1		1.03		254872		247456		-338.53
1		0.97		246728		254160		-335.9
1		1		247804		248772		-335.55
1		1		250140		249160		-335.9
1		1.03		254916		246680		-338.91
1		0.97		246600		254488		-336.12
1		0.99		247896		249432		-335.57
1		1.01		249996		247868		-336.34
1		1.02		254976		248960		-338.51
1		0.98		246652		252132		-336.56
1		0.99		247752		250996		-335.39
1		1		250136		249228		-335.72
1		1.03		255032		246664		-338.77
1		0.97		246556		253408		-336.34
1		1		247900		248312		-336.19
1		1		250108		249096		-336.56
1		1.02		254876		249560		-338.47
1		0.98		246700		251916		-336.61
1		0.99		247716		249612		-335.93
1		1		250088		249160		-336.26
1		1.03		254964		247928		-338.82
1		0.97		246696		254640		-336.01
1		1		247736		247884		-335.96
1		1		250244		249448		-336.24
1		1.03		254916		247452		-338.96
1		0.98		246688		252888		-336.75
1		0.99		247800		250704		-335.71
1		1.01		250056		248360		-336.32
1		1.03		254832		246952		-339.19
1		0.97		246744		254180		-336.56
1		1		247860		249088		-336.12
1		1		250072		249152		-336.45
1		1.02		254936		248988		-338.6
1		0.98		246644		251968		-336.7
1		1		247884		248776		-336.38
1		1		250004		249148		-336.68
1		1.03		255068		248516		-339.06
1		0.97		246584		252956		-336.79
1		0.99		247840		249192		-336.3
1		1		249992		249112		-336.62
1		1.03		255104		248000		-339.2
1		0.97		246548		255152		-336.16
1		1		247852		247064		-336.45
1		1.01		250084		248676		-336.96
1		1.02		254876		249888		-338.76
1		0.99		246728		250484		-337.41
1		0.98		247812		252608		-335.7
1		1.01		250120		248560		-336.26
1		1.04		254980		245708		-339.66
1		0.97		246604		254852		-336.75
1		1		247888		247712		-336.81
1		1		249976		248960		-337.18
1		1.02		254980		250992		-338.61
1		0.98		246684		250768		-337.14
1		0.99		247804		250208		-336.28
1		1.01		250096		248764		-336.76
1		1.03		254932		247640		-339.41
1		0.97		246668		253652		-336.93
1		1		247816		249040		-336.49
1		1.01		250104		248528		-337.06
1		1.02		254944		248932		-339.23
1		0.97		246672		253196		-336.91
1		0.99		247820		249552		-336.29
1		1.01		250088		248664		-336.81
1		1.03		254972		247836		-339.4
1		0.98		246660		252196		-337.42
1		0.99		247720		250740		-336.34
1		1.01		250152		248548		-336.92
1		1.03		254868		248600		-339.19
1		0.98		246756		251148		-337.61
1		0.99		247812		251080		-336.44
1		1		249968		249420		-336.64
1		1.03		255064		247608		-339.35
1		0.97		246596		254540		-336.54
1		1		247824		246848		-336.9
1		1.01		250052		248740		-337.37
1		1.02		255004		250004		-339.17
